text,intent,label
can you tell me about expensive sushi restaurants in west philadelphia,places near me,10
places near me to eat today with my friends,places near me,10
what is time now in california,asking time,1
send email to xyz@gmail.com,send email,13
yo i need a coffee now,,-1
explain further please.,tell me about,16
veganism,tell me about,16
screen shot now,take screenshot,15
pull up all emails sent to me from amazon,send email,13
is the weather bad in new york right now,asking weather,2
tell me joke about trump,tell me joke,17
volume control decrease,volume control,19
when was this song first recorded,play on youtube,12
open website stackoverflow.com,open website,9
show me the places where i was,tell me about,16
i am bored,i am bored,8
what is the day,asking date,0
what are they saying about donald trump on this topic,tell me news,18
decrease volume to very soft,volume control,19
when is boy band playing,play on youtube,12
click selfie,click photo,3
can you make me a cup of coffee,,-1
today,asking date,0
open website stackoverflow.com,open website,9
open website github.com,open website,9
Shut up,goodbye,6
tell me what was the temperature in our city at twelve pm,asking weather,2
tell me about a vet,tell me about,16
Do you know what time it is?,asking time,1
what time is it,asking time,1
start the coffee maker,,-1
tell me news tomorrow,tell me news,18
Do you know what time it is?,asking time,1
tell me about today,tell me about,16
whats up,"greet and hello hi kind of things, general check in",7
silence please,volume control,19
open website google.com,open website,9
what is the day of the week,asking date,0
"s1, can you rephrase me more on the last sentence please.",tell me about,16
send email to,send email,13
play minecraft with me,play games,11
reshuffle and play music,play on youtube,12
"s1, rephrase me more on it.",tell me about,16
Hi there,"greet and hello hi kind of things, general check in",7
co play game monopoly,play games,11
down,volume control,19
any important notifications,send email,13
Hello,"greet and hello hi kind of things, general check in",7
can you turn down the volume please and tell me what is the title of this song,play on youtube,12
i'd like a cappuccino please,,-1
volume control decrease by 10,volume control,19
volume control unmute,volume control,19
capture selfie,click photo,3
send an email to fred from work he is in my contacts,send email,13
what is your best joke,tell me joke,17
covid cases of india past 48 hours,covid cases,4
bye,goodbye,6
screen shot now,take screenshot,15
can i get a cup of coffee,,-1
lets play,play games,11
it's really loud can you please turn the music down,volume control,19
covid confirmed cases,covid cases,4
i want you to play this game for me,play games,11
I am not entertained,i am bored,8
click selfie of,click photo,3
open email for unread mails,send email,13
daily cases of india,covid cases,4
Can you lower the volume?,volume control,19
email my mother,send email,13
lessen the speaker volume,volume control,19
will the fast food shop at the corner open today,places near me,10
send whatsapp message about <name>,send whatsapp message,14
Good thanks! My user is Adam,"greet and hello hi kind of things, general check in",7
Hya there,"greet and hello hi kind of things, general check in",7
i am not clear about last sentence.,tell me about,16
what is the weather,asking weather,2
i am bored,i am bored,8
My user is Bella,"greet and hello hi kind of things, general check in",7
tell me about the current weather,asking weather,2
hello there,"greet and hello hi kind of things, general check in",7
"s2, i didn't quite catch that.",tell me about,16
play games of gcc,play games,11
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
capture photo,click photo,3
download youtube video of minecraft,download youtube video,5
covid cases of india past 24 hours,covid cases,4
good news for economy,tell me news,18
What can you help me with?,what can you do,20
who sung this,play on youtube,12
Hya there,"greet and hello hi kind of things, general check in",7
I am Bella,"greet and hello hi kind of things, general check in",7
Hola,"greet and hello hi kind of things, general check in",7
places near me,places near me,10
send email to <name>,send email,13
open website github.com,open website,9
how hot is it in quebec,asking weather,2
What are your functionalities?,what can you do,20
click selfie of,click photo,3
i need to add a new email to my contacts,send email,13
covid confirmed cases of,covid cases,4
daily cases of india,covid cases,4
tell me you,tell me about,16
bye,goodbye,6
what is tomorrows date,asking time,1
open website stackoverflow.com,open website,9
who is the music director of this song,play on youtube,12
what is a good place for cruise,places near me,10
make me laugh,tell me joke,17
what's the good news?,tell me news,18
good afternoon,goodbye,6
i am bored what can i do today with my boyfriend,i am bored,8
covid cases,covid cases,4
what is the weather like day before tomorrow,asking weather,2
day after tomorrow,asking date,0
Can you recommend some places nearby?,places near me,10
"Thank you, bye",goodbye,6
good day,goodbye,6
is it possible for you to provide the likes of my music,play on youtube,12
tell me a joke about chickens,tell me joke,17
what was the weather for the week,asking weather,2
tell me fun joke,tell me joke,17
Can you recommend some places nearby?,places near me,10
screen shot of,take screenshot,15
play bad guy on youtube,play on youtube,12
find me the cheapest copy of the four hour body,tell me about,16
show me some food court nearest to my location,places near me,10
covid cases of india,covid cases,4
Quiet,goodbye,6
what day is it day before tomorrow,asking date,0
"Thank you, goodbye",goodbye,6
i need to see if i got any new email,send email,13
what time is it day after tomorrow,asking time,1
tell me a fun joke,tell me joke,17
what time is it,asking time,1
what is the weather like now today,asking weather,2
"Thank you, bye",goodbye,6
are there new emails for me,send email,13
I am feeling a bit bored,i am bored,8
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
tell me about,tell me about,16
make five coffee tell the coffee machine,,-1
what's the funniest joke you know,tell me joke,17
play games of c,play games,11
what day is christmas,asking time,1
is there any new mail for me,send email,13
tell me my music likes,play on youtube,12
send email to dipesh,send email,13
covid cases,covid cases,4
places near me to eat today with my friends,places near me,10
what are my new contact emails,send email,13
take screenshot,take screenshot,15
play for me the music by the beatles,play on youtube,12
Where can I find,tell me about,16
hi there,"greet and hello hi kind of things, general check in",7
tell me the music that is playing,play on youtube,12
do i need to carry umbrella for evening,asking weather,2
Can you tell me the time?,asking time,1
play games of xxd,play games,11
lower all volume on speakers please,volume control,19
tell me a joke about kim jong un,tell me joke,17
tell me about my life,tell me about,16
Be quiet,goodbye,6
play me all jazz music,play on youtube,12
play games of xyz 32 bit,play games,11
It is Adam,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
Hello,"greet and hello hi kind of things, general check in",7
email dad how is the weather this week,send email,13
send whatsapp message to 9898982565,send whatsapp message,14
Where should I go nearby?,places near me,10
help me locate a shop that sells clothes for classy ladies,places near me,10
send email to,send email,13
tell me a fun joke,tell me joke,17
This is Adam,"greet and hello hi kind of things, general check in",7
is it going to rain later,asking weather,2
good bye,goodbye,6
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
is it snowing in seattle,asking weather,2
want to play a game of trivia,play games,11
make me coffee now,,-1
tomorrow,asking date,0
is it going to snow tonight,asking weather,2
click photo,click photo,3
recommend pub in eighth and monte diablo,places near me,10
i am bored today what can i do,i am bored,8
What are your functionalities?,what can you do,20
Hi there,"greet and hello hi kind of things, general check in",7
download youtube video of <name>,download youtube video,5
"Thank you, goodbye",goodbye,6
economic affairs,tell me news,18
today,asking date,0
I am getting bored,i am bored,8
tell me a fun joke,tell me joke,17
I am feeling a bit bored,i am bored,8
can you tell me how to measure my shoe size,tell me about,16
I am feeling a bit bored,i am bored,8
update me on my emails,send email,13
give me the morning news,tell me news,18
I am looking for,tell me about,16
tell me a joke,tell me joke,17
good evening,goodbye,6
crack a joke,tell me joke,17
send whatsapp message,send whatsapp message,14
download youtube video of minecraft,download youtube video,5
please will you further clarify me on that.,tell me about,16
download youtube video of guru randhawa,download youtube video,5
has tom emailed me about ammunition,send email,13
good day,goodbye,6
latest updates,tell me news,18
This is Adam,"greet and hello hi kind of things, general check in",7
what's the good news of stock market,tell me news,18
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
Hello there,"greet and hello hi kind of things, general check in",7
send a test email to,send email,13
find jazz music on my playlist,play on youtube,12
select and play only christian rock from one thousand nine hundred and ninety upwards,play on youtube,12
please mute my speaker,volume control,19
play on youtube,play on youtube,12
mute the settings,volume control,19
tell me about,tell me about,16
tomorrow,asking date,0
What are some places near me?,places near me,10
"Thank you, goodbye",goodbye,6
play <song> on youtube,play on youtube,12
screen shot of <name>,take screenshot,15
has any mail received with an attachment,send email,13
open website wikipedia.com,open website,9
how is weather on such and such day,asking weather,2
please open and play chess with me,play games,11
tell me about my family,tell me about,16
Make me laugh,tell me joke,17
good afternoon,goodbye,6
search for a good nerd joke,tell me joke,17
send whatsapp message to dipesh,send whatsapp message,14
tell me a fun joke,tell me joke,17
how many birthday's are on twenty third,asking time,1
what's good news,tell me news,18
What are your functionalities?,what can you do,20
I am Bella,"greet and hello hi kind of things, general check in",7
Can you control the volume?,volume control,19
Is it going to snow,asking weather,2
beep when i get an email from john,send email,13
play games of xxd,play games,11
click photo,click photo,3
send whatsapp message to,send whatsapp message,14
send email how are you dad to dad,send email,13
download youtube video of <name>,download youtube video,5
entertainment news,tell me news,18
what is the weather update for tuesday,asking weather,2
send whatsapp message,send whatsapp message,14
lower the volume ten percent,volume control,19
try to play old nineties classic music,play on youtube,12
what's going on with economy,tell me news,18
hello,"greet and hello hi kind of things, general check in",7
time,asking time,1
Can you tell me the time?,asking time,1
what day does april sixteenth fall on,asking time,1
open website stackoverflow.com,open website,9
What are the top places nearby?,places near me,10
how time is it,asking time,1
what is the latest news from cbs,tell me news,18
I am so bored,i am bored,8
"Thank you, bye",goodbye,6
places near me,places near me,10
what's the weather supposed to be like on wednesday,asking weather,2
send email to <name> about <name>,send email,13
can you explain string theory to me,tell me about,16
turn the volume down,volume control,19
capture selfie,click photo,3
turn down the volume,volume control,19
hello,"greet and hello hi kind of things, general check in",7
tell me fun joke,tell me joke,17
how is my inbox looking at the moment,send email,13
Tell me a joke,tell me joke,17
hello you have a send an email to someone,send email,13
What is the weather like today,asking weather,2
tell me about my family,tell me about,16
time,asking time,1
what time is it day before tomorrow,asking time,1
i would like to hear some rap music,play on youtube,12
See you later,goodbye,6
when did dave matthews email me about the contract,send email,13
Hola how are you?,"greet and hello hi kind of things, general check in",7
volume control decrease,volume control,19
play bad guy on youtube,play on youtube,12
send whatsapp message,send whatsapp message,14
tell me about my day,tell me about,16
send email to <name>,send email,13
It is Bella,"greet and hello hi kind of things, general check in",7
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
Do you know the time?,asking time,1
tell me fun joke,tell me joke,17
tell me about my job,tell me about,16
daily cases,covid cases,4
play for me the music by madonna,play on youtube,12
Hi there,"greet and hello hi kind of things, general check in",7
what is today's day,asking time,1
i need a place that will deliver pizza to me in benton ar,places near me,10
Give me a joke,tell me joke,17
whats up,"greet and hello hi kind of things, general check in",7
send email to dipesh,send email,13
play despacito on youtube today,play on youtube,12
i would like coffee now,,-1
what time is it today,asking time,1
tell me news day before tomorrow,tell me news,18
play games of c,play games,11
what's happened in the news recently,tell me news,18
Hello there,"greet and hello hi kind of things, general check in",7
what's good news,tell me news,18
Do you know what time it is?,asking time,1
Tell me a joke,tell me joke,17
please decrease the volume of music player,volume control,19
what is the update on stock market,tell me news,18
tell me about yours,tell me about,16
hello there,"greet and hello hi kind of things, general check in",7
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
what is the time in hyderabad,asking time,1
what day is it day before tomorrow,asking date,0
what is the time for the eastern time zone,asking time,1
please speak quieter to me,volume control,19
Will it rain tomorrow,asking weather,2
"Thank you, goodbye",goodbye,6
what day is it day after tomorrow,asking date,0
what is my location,tell me about,16
i wish to go for cheap shopping is there any dollars shop nearby,places near me,10
Where should I go nearby?,places near me,10
how much can i bleed before i die,tell me about,16
Hi there,"greet and hello hi kind of things, general check in",7
do you know any joke,tell me joke,17
please do not speak,volume control,19
jazz could be choice for me,play on youtube,12
make me laugh,tell me joke,17
lower volume,volume control,19
hey there,"greet and hello hi kind of things, general check in",7
tell me the temperature in pheonix,asking weather,2
"Thank you, goodbye",goodbye,6
send whatsapp message about <name>,send whatsapp message,14
i really enjoyed sunny day today,tell me about,16
Do you know what time it is?,asking time,1
what is name of the song currently playing,play on youtube,12
send a mail to alex asking about the due payment,send email,13
next i want to hear shinedown,play on youtube,12
"s2, last sentence was not clear.",tell me about,16
show me my playlist,play on youtube,12
time,asking time,1
tell me the name of the composer,play on youtube,12
what is the temperature,asking weather,2
Hello how are you?,"greet and hello hi kind of things, general check in",7
send whatsapp message,send whatsapp message,14
Can you turn the volume up?,volume control,19
Hi how are you?,"greet and hello hi kind of things, general check in",7
covid confirmed cases of,covid cases,4
send email to xyz@gmail.com,send email,13
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
which restaurant is there in shivaji nagar,places near me,10
do you know any good jokes,tell me joke,17
places near me,places near me,10
Thanks goodbye,goodbye,6
tell me joke about trump,tell me joke,17
tell me who send the email about the boss yesterday,send email,13
covid cases,covid cases,4
tell me a dad joke,tell me joke,17
Please be quiet,goodbye,6
How about a joke,tell me joke,17
please open snooker game i would like to play with you,play games,11
quiet on,volume control,19
screen shot of <name>,take screenshot,15
What can I ask you to do?,what can you do,20
download youtube video of,download youtube video,5
tell me current time,asking time,1
volume control mute,volume control,19
Tell me a joke,tell me joke,17
send an email to my boss,send email,13
i am bored today what can i do,i am bored,8
what time is it day before tomorrow,asking time,1
pause the music,volume control,19
Hi,"greet and hello hi kind of things, general check in",7
let me know if anything happens on that subject,tell me news,18
open website wikipedia.com,open website,9
what time is it day before tomorrow,asking time,1
download youtube video of minecraft,download youtube video,5
How about a joke,tell me joke,17
what is the name of that song,play on youtube,12
What can I ask you to do?,what can you do,20
do i need a sweater today,asking weather,2
click selfie of,click photo,3
Tell me a joke,tell me joke,17
covid confirmed cases of,covid cases,4
i am bored today,i am bored,8
Can you increase the volume?,volume control,19
i am bored what can i do today with my wife,i am bored,8
be quiet,volume control,19
tell a joke that puts smile on my face,tell me joke,17
what is the weather tomorrow,asking weather,2
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
open website github.com,open website,9
download youtube video of minecraft,download youtube video,5
how does production and population affects us,tell me about,16
Thanks good bye,goodbye,6
play baseball with me,play games,11
what's today date,asking time,1
play games of c,play games,11
"Thank you, bye",goodbye,6
What can you assist me with?,what can you do,20
Bye,goodbye,6
i've got a meeting by tonight seven pm please mute the music for an hour,volume control,19
start a competitive crossword for us,play games,11
play on youtube,play on youtube,12
don't respond for fifty seconds,volume control,19
day after tomorrow,asking date,0
how hot is it in miami,asking weather,2
i want to hear a joke,tell me joke,17
play all the latest pop songs,play on youtube,12
lessen the speaker volume,volume control,19
play games of xyz 32 bit,play games,11
lower the volume of the speakers,volume control,19
can you please read the my mom sent this morning at ten am,send email,13
Hya,"greet and hello hi kind of things, general check in",7
Hello how are you?,"greet and hello hi kind of things, general check in",7
what is the weather today,asking weather,2
lower speaker volume,volume control,19
I am finding myself bored,i am bored,8
Hello how are you?,"greet and hello hi kind of things, general check in",7
what time is it day before tomorrow,asking time,1
hey there,"greet and hello hi kind of things, general check in",7
tell me about tomorrow,tell me about,16
"Thank you, bye",goodbye,6
Hola how are you?,"greet and hello hi kind of things, general check in",7
play games of xxd,play games,11
good evening,goodbye,6
i want some coffee,,-1
please send an email to john saying i'm on leave,send email,13
Do you know what time it is?,asking time,1
play bad guy on youtube,play on youtube,12
I am Adam,"greet and hello hi kind of things, general check in",7
play games with me,play games,11
places near me to eat today with my friends,places near me,10
"s2, i was unclear about your answers.",tell me about,16
tell me a dad joke,tell me joke,17
volume control decrease,volume control,19
Hya there,"greet and hello hi kind of things, general check in",7
twenty second april day,asking time,1
play what live,play on youtube,12
Make me laugh,tell me joke,17
tell me you,tell me about,16
hey,"greet and hello hi kind of things, general check in",7
take screenshot,take screenshot,15
Can you recommend some places nearby?,places near me,10
play purple haze,play on youtube,12
time,asking time,1
good morning,goodbye,6
reply email,send email,13
don't speak for a while,volume control,19
open website stackoverflow.com,open website,9
What are your functionalities?,what can you do,20
i just want to know some information about you,tell me about,16
mute the volume,volume control,19
"Thank you, bye",goodbye,6
